time_h,t_room,u_kw,setpoint_c,elec_kw,price,arm,degraded,pred_err
0.0,24.0,0.0,26.0,0.0,0.0257005,gccm_safe,0,1.131469979576039
0.08333333333333333,24.16426109068715,0.0,26.0,0.0,0.0257005,gccm_safe,1,0.9513421890468585
0.16666666666666666,24.124425764802027,0.0,26.0,1.4208334145119e-310,0.0257005,gccm_safe,1,0.9547427387964262
0.25,24.078195724885347,0.0,26.0,0.0,0.0257005,gccm_safe,1,0.9624785069517934
0.3333333333333333,24.025921938210843,0.0,26.0,0.0,0.0257005,gccm_safe,1,0.9705346238466674
0.4166666666666667,23.96834445815398,0.0,26.0,4.9388e-319,0.0257005,gccm_safe,1,0.983648735805815
0.5,23.906461263324104,0.0,26.0,1.04e-322,0.0257005,gccm_safe,1,0.997638399708709
0.5833333333333334,23.84144691363531,0.0,26.0,1.5e-323,0.0257005,gccm_safe,1,1.0119206878924594
0.6666666666666666,23.774597705326244,0.0,26.0,0.0,0.0257005,gccm_safe,1,1.0274128949776937
0.75,23.707250978035916,0.0,26.0,1.5e-323,0.0257005,gccm_safe,1,1.0391611037860606
0.8333333333333334,23.64091184256023,0.0,26.0,1.5e-323,0.0257005,gccm_safe,1,1.052948222833603
0.9166666666666666,23.57754923748456,0.0,26.0,1.5e-323,0.0257005,gccm_safe,1,1.0634980783172239
1.0,23.518933754888508,0.0,26.0,0.0,0.024625,gccm_safe,1,1.0758126435780788
1.0833333333333333,23.466500443266,0.0,26.0,1e-323,0.024625,gccm_safe,1,1.0786313552626474
1.1666666666666667,23.420527045524068,0.0,26.0,0.0,0.024625,gccm_safe,1,1.0738368930110482
1.25,23.380663720975576,0.0,26.0,0.0,0.024625,gccm_safe,1,1.0694903577818167
1.3333333333333333,23.346311426108628,0.0,26.0,0.0,0.024625,gccm_safe,1,1.0643601898844182
1.4166666666666667,23.3163038178605,0.0,26.0,0.0,0.024625,gccm_safe,1,1.0550227556039538
1.5,23.289365224793585,0.0,26.0,0.0,0.024625,gccm_safe,1,1.0448410841162854
1.5833333333333333,23.264438283646427,0.0,26.0,0.0,0.024625,gccm_safe,1,1.0344973677323743
1.6666666666666667,23.24049771374132,0.0,26.0,0.0,0.024625,gccm_safe,1,1.023188295339775
1.75,23.216509661066652,0.0,26.0,1e-323,0.024625,gccm_safe,1,1.0147731230501336
1.8333333333333333,23.191414476091325,0.0,26.0,0.0,0.024625,gccm_safe,1,1.0051851013657611
1.9166666666666667,23.16411619360815,0.0,26.0,1e-323,0.024625,gccm_safe,1,0.9982608963177029
