time_h,period,controller,t_room,u_kw,setpoint_c,elec_kw,price,t_out
0.0,A1,rule,21.04176511040339,-1.5,18.0,0.7077365295659919,0.0257005,9.701309198542788
0.08333333333333333,A1,rule,22.559816639279802,0.0,26.0,5.90681875415544e-34,0.0257005,9.457338627049182
0.16666666666666666,A1,rule,23.232274229839504,0.0,26.0,2.581156635961635e-44,0.0257005,9.170856102003654
0.25,A1,rule,23.519863115078806,0.0,26.0,3.9107481485925824e-42,0.0257005,8.857290243624789
0.3333333333333333,A1,rule,23.63315230212669,0.0,26.0,9.150885507096699e-24,0.0257005,8.532069672131172
0.4166666666666667,A1,rule,23.661344190774287,0.0,26.0,1.202639457354398e-26,0.0257005,8.210623007741333
0.5,A1,rule,23.64597239203283,0.0,26.0,6.151616034290994e-60,0.0257005,7.908378870673971
0.5833333333333334,A1,rule,23.60791537569736,0.0,26.0,1.5203166768791417e-66,0.0257005,7.6407658811475585
0.6666666666666666,A1,rule,23.55902689773785,0.0,26.0,8.300749691305903e-35,0.0257005,7.423212659380681
0.75,A1,rule,23.50633691352914,0.0,26.0,1.1466779947217753e-78,0.0257005,7.2711478255919815
0.8333333333333334,A1,rule,23.454450256866892,0.0,26.0,5.466873938464726e-82,0.0257005,7.199999999999989
0.9166666666666666,A1,rule,23.40650051757882,0.0,26.0,2.717032092820896e-43,0.0257005,7.2053124367536725
1.0,A1,rule,23.363723889828634,0.0,26.0,5.733034266600042e-46,0.024625,7.26467314308843
1.0833333333333333,A1,rule,23.326242963511845,0.0,26.0,2.0895896052643732e-98,0.024625,7.36657786885246
1.1666666666666667,A1,rule,23.293431667459572,0.0,26.0,5.1492756497047417e-107,0.024625,7.499522363893959
1.25,A1,rule,23.26446844762347,0.0,26.0,5.115545800866793e-54,0.024625,7.652002378061127
1.3333333333333333,A1,rule,23.238434187472194,0.0,26.0,3.427877367942173e-115,0.024625,7.812513661202161
1.4166666666666667,A1,rule,23.214357104185012,0.0,26.0,6.563743959516681e-121,0.024625,7.969551963165372
1.5,A1,rule,23.19123339868139,0.0,26.0,3.0091279286583595e-62,0.024625,8.111613033798847
1.5833333333333333,A1,rule,23.16803165088635,0.0,26.0,1.5152794828057758e-132,0.024625,8.227192622950838
1.6666666666666667,A1,rule,23.14368971147468,0.0,26.0,5.466752119577782e-137,0.024625,8.304786480469545
1.75,A1,rule,23.117108865830573,0.0,26.0,1.3771763370935902e-70,0.024625,8.332890356203222
1.8333333333333333,A1,rule,23.087147432847985,0.0,26.0,4.8730986301950125e-74,0.024625,8.300000000000011
1.9166666666666667,A1,rule,23.053017642508337,0.0,26.0,2.2284142201645367e-153,0.024625,8.226247588734566
2.0,A1,rule,23.01543513204365,0.0,26.0,4.7954459526538235e-79,0.0222757,8.14106867283948
2.0833333333333335,A1,rule,22.975285350105594,0.0,26.0,7.74307303578235e-82,0.0222757,8.04691406249998
2.1666666666666665,A1,rule,22.93321982377506,0.0,26.0,6.031843375412135e-170,0.0222757,7.946234567901229
2.25,A1,rule,22.889720299991325,0.0,26.0,9.247010705768431e-88,0.0222757,7.841480999228395
2.3333333333333335,A1,rule,22.845161671875076,0.0,26.0,5.823472479668867e-90,0.0222757,7.735104166666645
2.4166666666666665,A1,rule,22.799858002925816,0.0,26.0,1.145254780018156e-186,0.0222757,7.629554880401258
2.5,A1,rule,22.75409227038972,0.0,26.0,1.1218807709245677e-193,0.0222757,7.527283950617289
2.5833333333333335,A1,rule,22.708134211983747,0.0,26.0,3.3867362697956743e-98,0.0222757,7.430742187500016
2.6666666666666665,A1,rule,22.662250411229422,0.0,26.0,1.3998364459395155e-203,0.0222757,7.34238040123455
2.75,A1,rule,22.616709613999944,0.0,26.0,2.878903232062043e-209,0.0222757,7.264649402006171
2.8333333333333335,A1,rule,22.57178521494967,0.0,26.0,1.665238622318341e-106,0.0222757,7.199999999999989
2.9166666666666665,A1,rule,22.527655720396695,0.0,26.0,6.75753792264439e-221,0.0222757,7.1430820794753345
3.0,A1,rule,22.48413633536859,0.0,26.0,1.6463832916514855e-225,0.0220827,7.0872492283950805
3.0833333333333335,A1,rule,22.441036762577085,0.0,26.0,7.027172401790925e-115,0.0220827,7.033007812499989
3.1666666666666665,A1,rule,22.398254024657206,0.0,26.0,1.2737103996494012e-118,0.0220827,6.980864197530877
3.25,A1,rule,22.355747365144907,0.0,26.0,5.712238178493008e-242,0.0220827,6.931324749228395
3.3333333333333335,A1,rule,22.313516529954768,0.0,26.0,2.4533253659672803e-123,0.0220827,6.88489583333336
3.4166666666666665,A1,rule,22.27158637899373,0.0,26.0,2.797958151889778e-126,0.0220827,6.84208381558642
3.5,A1,rule,22.22999696445197,0.0,26.0,1.4388419396584018e-258,0.0220827,6.803395061728395
3.5833333333333335,A1,rule,22.18879747871273,0.0,26.0,5.971564548812994e-132,0.0220827,6.769335937499989
3.6666666666666665,A1,rule,22.148042696601237,0.0,26.0,2.1566622431527394e-134,0.0220827,6.740412808641963
3.75,A1,rule,22.107790939683582,0.0,26.0,2.727272062616552e-275,0.0220827,6.7171320408950805
3.8333333333333335,A1,rule,22.068102936232776,0.0,26.0,2.4003023173159105e-284,0.0220827,6.699999999999989
3.9166666666666665,A1,rule,22.029085314141014,0.0,26.0,1.2642228682640967e-142,0.0220827,6.692974333983102
4.0,A1,rule,21.990968821211993,0.0,26.0,3.695513344508884e-292,0.0279193,6.698862897985691
4.083333333333333,A1,rule,21.953906585419418,0.0,26.0,2.7826453852513963e-298,0.0279193,6.716447368421029
4.166666666666667,A1,rule,21.91796173549352,0.0,26.0,6.303713511869337e-151,0.0279193,6.744509421702389
4.25,A1,rule,21.88314138576834,0.0,26.0,2.8238346854846e-309,0.0279193,6.7818307342429875
4.333333333333333,A1,rule,21.849418328115405,0.0,26.0,2.0474966984e-314,0.0279193,6.827192982456154
4.416666666666667,A1,rule,21.816743938311276,0.0,26.0,2.7455762886462425e-159,0.0279193,6.879377842755048
4.5,A1,rule,21.785055418605793,0.0,26.0,0.0,0.0279193,6.937166991552942
4.583333333333333,A1,rule,21.754279640730203,0.0,26.0,0.0,0.0279193,6.9993421052631675
4.666666666666667,A1,rule,21.724335075122724,0.0,26.0,1.028757015637227e-167,0.0279193,7.0646848602988825
4.75,A1,rule,21.695132721185303,0.0,26.0,6.2745104073333e-171,0.0279193,7.1319769330734175
4.833333333333333,A1,rule,21.66657657352846,0.0,26.0,0.0,0.0279193,7.199999999999989
4.916666666666667,A1,rule,21.638806621599826,0.0,26.0,3.0524178885612677e-176,0.0279193,7.286042311661504
5.0,A1,rule,21.61271762522074,0.0,26.0,6.1105074853266755e-179,0.0335181,7.403869969040272
5.083333333333333,A1,rule,21.588917741025966,0.0,26.0,0.0,0.0335181,7.546981424148612
5.166666666666667,A1,rule,21.567572850300735,0.0,26.0,4.590542424182163e-185,0.0335181,7.7088751289989546
5.25,A1,rule,21.548549358587707,0.0,26.0,3.9231354099941195e-187,0.0335181,7.883049535603732
5.333333333333333,A1,rule,21.531521677224248,0.0,26.0,0.0,0.0335181,8.063003095975205
5.416666666666667,A1,rule,21.516043783021757,0.0,26.0,0.0,0.0335181,8.242234262125919
5.5,A1,rule,21.501596011415756,0.0,26.0,2.0795660039072586e-195,0.0335181,8.414241486068136
5.583333333333333,A1,rule,21.487609805849274,0.0,26.0,0.0,0.0335181,8.57252321981423
5.666666666666667,A1,rule,21.473478372773513,0.0,26.0,0.0,0.0335181,8.710577915376689
5.75,A1,rule,21.45856242562695,0.0,26.0,9.576270768860951e-204,0.0335181,8.821904024767775
5.833333333333333,A1,rule,21.442192912088444,0.0,26.0,0.0,0.0335181,8.899999999999977
5.916666666666667,A1,rule,21.42353873379892,0.0,26.0,0.0,0.0335181,8.928770447158854
6.0,A1,rule,21.401486206702657,0.0,26.0,3.842746042939248e-212,0.0337632,8.902985820922197
6.083333333333333,A1,rule,21.375437353556265,0.0,26.0,6.926053252522661e-216,0.0337632,8.832443346190928
6.166666666666667,A1,rule,21.345325371284446,0.0,26.0,0.0,0.0337632,8.726940247865969
6.25,A1,rule,21.31145102802668,0.0,26.0,1.2910169134526104e-220,0.0337632,8.59627375084824
6.333333333333333,A1,rule,21.274342702024626,0.0,26.0,1.4191839929275528e-223,0.0337632,8.450241080038552
6.416666666666667,A1,rule,21.23480288072642,0.0,26.0,0.0,0.0337632,8.298639460337881
6.5,A1,rule,21.194805967297214,0.0,26.0,3.0976769675696462e-229,0.0337632,8.151266116647037
6.583333333333333,A1,rule,21.157314595321566,0.0,26.0,1.0525367105464862e-231,0.0337632,8.01791827386694
6.666666666666667,A1,rule,21.125198486250042,0.0,26.0,0.0,0.0337632,7.908393156898455
6.75,A1,rule,21.100935671626246,0.0,26.0,1.0850375974874404e-239,0.0337632,7.832487990642505
6.833333333333333,A1,rule,21.087135323095595,0.0,26.0,6.0419279916305e-240,0.0337632,7.800000000000011
6.916666666666667,A1,rule,21.08636997924924,0.0,26.0,0.0,0.0337632,7.791822184816567
7.0,A1,rule,21.09888226267367,0.0,26.0,0.0,0.0329356,7.785563036690064
7.083333333333333,A1,rule,21.124184355928833,0.0,26.0,3.0252928252119067e-248,0.0329356,7.78609301814987
7.166666666666667,A1,rule,21.161521200556308,0.0,26.0,0.0,0.0329356,7.79828259172524
7.25,A1,rule,21.20980503448311,0.0,26.0,0.0,0.0329356,7.827002219945371
7.333333333333333,A1,rule,21.268328804894168,0.0,26.0,1.3554299633676082e-256,0.0329356,7.877122365339574
7.416666666666667,A1,rule,21.337222607962758,0.0,26.0,0.0,0.0329356,7.95351349043716
7.5,A1,rule,21.41382160478196,0.0,26.0,0.0,0.0329356,8.061046057767385
7.583333333333333,A1,rule,21.497768404328895,0.0,26.0,5.33932561993611e-265,0.0329356,8.204590529859502
7.666666666666667,A1,rule,21.589657330989496,0.0,26.0,2.838900886599501e-268,0.0329356,8.389017369242765
7.75,A1,rule,21.690451848518364,0.0,26.0,0.0,0.0329356,8.619197038446544
7.833333333333333,A1,rule,21.804093006179528,0.0,26.0,3.39871723169968e-277,0.0329356,8.899999999999977
7.916666666666667,A1,rule,22.491544545561567,0.0,26.0,0.0,0.0329356,9.214858630952392
8.0,A1,rule,22.970086541988053,0.0,26.0,0.0,0.0358646,9.54315476190476
8.083333333333334,A1,rule,23.34849668837012,0.0,26.0,4.1090278905012227e-293,0.0358646,9.883683035714284
8.166666666666666,A1,rule,23.66122965335279,0.0,26.0,2.4043021793799927e-297,0.0358646,10.235238095238117
8.25,A1,rule,23.931151025942142,0.0,26.0,0.0,0.0358646,10.596614583333348
8.333333333333334,A1,rule,24.177258462923533,0.0,26.0,3.27762921084228e-309,0.0358646,10.966607142857129
8.416666666666666,A1,rule,21.049639148312394,-1.5,18.0,0.7088059945021266,0.0358646,11.344010416666663
8.5,A1,rule,22.6940077379341,0.0,26.0,3.965406070141893e-14,0.0358646,11.727619047619044
8.583333333333334,A1,rule,23.685647318484257,0.0,26.0,1.0069710563149093e-36,0.0358646,12.11622767857142
8.666666666666666,A1,rule,24.360659748343323,0.0,26.0,6.5540326820405465e-49,0.0358646,12.50863095238094
8.75,A1,rule,21.393062126131838,-1.5,18.0,0.7470481694640948,0.0358646,12.903623511904755
8.833333333333334,A1,rule,23.2515552331094,0.0,26.0,3.0924009081743565e-12,0.0358646,13.300000000000011
8.916666666666666,A1,rule,24.357868990445752,0.0,26.0,1.2485177276763208e-32,0.0358646,13.706863425925917
9.0,A1,rule,21.624940877929532,-1.5,18.0,0.7728821246269024,0.0350218,14.131018518518545
9.083333333333334,A1,rule,23.674360405436687,0.0,26.0,1.447032119986819e-29,0.0350218,14.567812500000002
9.166666666666666,A1,rule,24.88521192718389,0.0,26.0,1.6443585934418452e-42,0.0350218,15.012592592592569
9.25,A1,rule,22.020544920863927,-1.5,18.0,0.8168965971260431,0.0350218,15.460706018518522
9.333333333333334,A1,rule,21.390720737554773,-1.5,18.0,0.7470009465464943,0.0350218,15.907500000000027
9.416666666666666,A1,rule,23.998139489682046,0.0,26.0,1.3322419782117956e-12,0.0350218,16.34832175925925
9.5,A1,rule,25.448141494997913,0.0,26.0,2.7851040043921867e-18,0.0350218,16.778518518518524
9.583333333333334,A1,rule,22.499707731834235,-1.5,18.0,0.8702280780878612,0.0350218,17.193437500000016
9.666666666666666,A1,rule,21.85855402454473,-1.5,18.0,0.7990622408154823,0.0350218,17.588425925925947
9.75,A1,rule,24.65458237476855,0.0,26.0,1.4139904286468323e-14,0.0350218,17.958831018518538
9.833333333333334,A1,rule,22.542575040330973,-1.5,18.0,0.875079911271972,0.0350218,18.30000000000001
9.916666666666666,A1,rule,22.117697035157107,-1.5,18.0,0.8279220404621953,0.0350218,18.612905092592598
10.0,A1,rule,22.097771886331714,-1.5,18.0,0.8257345254097322,0.0335682,18.903240740740728
10.083333333333334,A1,rule,22.16339457536094,-1.5,18.0,0.8330470922516613,0.0335682,19.173437499999977
10.166666666666666,A1,rule,22.248306051683358,-1.5,18.0,0.8425013967975178,0.0335682,19.425925925925924
10.25,A1,rule,22.33831658887732,-1.5,18.0,0.8525214758190873,0.0335682,19.663136574074088
10.333333333333334,A1,rule,22.429971575009745,-1.5,18.0,0.8627236033403682,0.0335682,19.88749999999999
10.416666666666666,A1,rule,22.52217643425854,-1.5,18.0,0.8729861570254008,0.0335682,20.10144675925926
10.5,A1,rule,22.61450659141218,-1.5,18.0,0.8832619253368461,0.0335682,20.307407407407425
10.583333333333334,A1,rule,22.70594419577202,-1.5,18.0,0.8934377870683633,0.0335682,20.5078125
10.666666666666666,A1,rule,22.797057244837845,-1.5,18.0,0.9035767765653668,0.0335682,20.705092592592564
10.75,A1,rule,22.88824531739118,-1.5,18.0,0.9137232225406056,0.0335682,20.90167824074075
10.833333333333334,A1,rule,22.979502626449403,-1.5,18.0,0.9238764210022682,0.0335682,21.100000000000023
10.916666666666666,A1,rule,23.070804047454374,-1.5,18.0,0.9340335789326544,0.0335682,21.301157407407402
11.0,A1,rule,23.162104021704636,-1.5,18.0,0.9441896527372422,0.0325973,21.503703703703707
11.083333333333334,A1,rule,23.253319276526213,-1.5,18.0,0.9543353470017205,0.0325973,21.70625000000001
11.166666666666666,A1,rule,23.344330065431564,-1.5,18.0,0.9644573049071878,0.0325973,21.90740740740739
11.25,A1,rule,23.434991724483496,-1.5,18.0,0.9745393922088067,0.0325973,22.105787037037032
11.333333333333334,A1,rule,23.525141235005094,-1.5,18.0,0.9845634266366895,0.0325973,22.30000000000001
11.416666666666666,A1,rule,23.614601391523593,-1.5,18.0,0.994509641430539,0.0325973,22.488657407407402
11.5,A1,rule,23.703199148685826,-1.5,18.0,1.004358724371994,0.0325973,22.670370370370392
