time_h,t_room,u_kw,setpoint_c,elec_kw,price,controller
0.0,24.124425753087962,-1.2573349166604339e-17,26.0,0.0,0.0257005,gccm
0.08333333333333333,24.078195720415977,0.0,26.0,0.0,0.0257005,gccm
0.16666666666666666,24.025921941348884,0.0,26.0,1.086554e-318,0.0257005,gccm
0.25,23.968341798841436,-1.6815447451230841e-12,25.999999999991033,0.0,0.0257005,gccm
0.3333333333333333,23.90645721847551,-2.9679104494789205e-08,25.999999841711443,1.5e-323,0.0257005,gccm
0.4166666666666667,23.84144334603218,0.0,26.0,1.5e-323,0.0257005,gccm
0.5,23.77459852337813,0.0,26.0,1.5e-323,0.0257005,gccm
0.5833333333333334,23.707253221961366,-4.4831811094745426e-13,25.99999999999761,1.5e-323,0.0257005,gccm
0.6666666666666666,23.640920474616962,0.0,26.0,1.5e-323,0.0257005,gccm
0.75,23.577558045364526,0.0,26.0,1.5e-323,0.0257005,gccm
0.8333333333333334,23.518942237072793,0.0,26.0,1.5e-323,0.0257005,gccm
0.9166666666666666,23.46650468459842,-2.1832520103209154e-18,26.0,1.5e-323,0.0257005,gccm
1.0,23.420537452247288,-0.00013936347757380826,25.999256728119608,1e-323,0.024625,gccm
1.0833333333333333,23.380674791758395,-1.5439622033364053e-17,26.0,1e-323,0.024625,gccm
1.1666666666666667,23.346313908358354,0.0,26.0,1e-323,0.024625,gccm
1.25,23.31630145920343,0.0,26.0,1e-323,0.024625,gccm
1.3333333333333333,23.289360484564497,0.0,26.0,1e-323,0.024625,gccm
1.4166666666666667,23.26443224663751,0.0,26.0,1e-323,0.024625,gccm
1.5,23.240490853062568,0.0,26.0,1e-323,0.024625,gccm
1.5833333333333333,23.216502159052652,0.0,26.0,1e-323,0.024625,gccm
1.6666666666666667,23.191406311931928,0.0,26.0,1e-323,0.024625,gccm
1.75,23.164107271180683,0.0,26.0,1e-323,0.024625,gccm
1.8333333333333333,23.133461376905018,-2.9594091040516507e-13,25.999999999998423,1e-323,0.024625,gccm
1.9166666666666667,23.098690523023834,0.0,26.0,1e-323,0.024625,gccm
2.0,23.060510701548367,0.0,26.0,1e-323,0.0222757,gccm
2.0833333333333335,23.019799190597496,0.0,26.0,1e-323,0.0222757,gccm
2.1666666666666665,22.97720824115021,0.0,26.0,1e-323,0.0222757,gccm
2.25,22.933218919015985,0.0,26.0,1e-323,0.0222757,gccm
2.3333333333333335,22.88820438813525,0.0,26.0,1e-323,0.0222757,gccm
2.4166666666666665,22.842476407557,0.0,26.0,1e-323,0.0222757,gccm
2.5,22.796315422723524,0.0,26.0,1e-323,0.0222757,gccm
2.5833333333333335,22.749988635060674,0.0,26.0,1e-323,0.0222757,gccm
2.6666666666666665,22.703760201656166,0.0,26.0,1e-323,0.0222757,gccm
2.75,22.657896603872985,-4.1756415219260446e-18,26.0,1e-323,0.0222757,gccm
2.8333333333333335,22.612669149052465,0.0,26.0,1e-323,0.0222757,gccm
2.9166666666666665,22.568252874525683,0.0,26.0,1e-323,0.0222757,gccm
3.0,22.524463377492168,0.0,26.0,1e-323,0.0220827,gccm
3.0833333333333335,22.481108503789187,-9.95046260241201e-19,26.0,1e-323,0.0220827,gccm
3.1666666666666665,22.43808347640396,0.0,26.0,1e-323,0.0220827,gccm
3.25,22.395346075113082,-1.3250300573707358e-16,26.0,1e-323,0.0220827,gccm
3.3333333333333335,22.352894863475342,0.0,26.0,1e-323,0.0220827,gccm
3.4166666666666665,22.310753723014557,-1.086686707684589e-18,26.0,1e-323,0.0220827,gccm
3.5,22.268961871187855,-9.835645140251723e-18,26.0,1e-323,0.0220827,gccm
3.5833333333333335,22.227567769241944,-1.5472462857334298e-17,26.0,1e-323,0.0220827,gccm
3.6666666666666665,22.18662553965288,-1.6754268714955594e-17,26.0,1e-323,0.0220827,gccm
3.75,22.14619291511923,-1.7840238887267767e-17,26.0,1e-323,0.0220827,gccm
3.8333333333333335,22.10633008876323,-1.877686764247195e-17,26.0,1e-323,0.0220827,gccm
3.9166666666666665,22.067143758728548,-2.820733004638505e-17,26.0,1e-323,0.0220827,gccm
4.0,22.028865340338825,-5.94716698011219e-05,25.999682817761062,1e-323,0.0279193,gccm
4.083333333333333,21.991644133610293,0.0,26.0,1e-323,0.0279193,gccm
4.166666666666667,21.955542262507777,0.0,26.0,1e-323,0.0279193,gccm
4.25,21.920568934352218,0.0,26.0,1e-323,0.0279193,gccm
4.333333333333333,21.88669653682871,0.0,26.0,1e-323,0.0279193,gccm
4.416666666666667,21.85387611409675,0.0,26.0,1e-323,0.0279193,gccm
4.5,21.822044611759225,-1.023776009934989e-15,25.999999999999993,1e-323,0.0279193,gccm
4.583333333333333,21.791133994047527,-5.2271771780376294e-14,25.999999999999723,1e-323,0.0279193,gccm
4.666666666666667,21.761055733315573,0.0,26.0,1e-323,0.0279193,gccm
4.75,21.731716744182677,0.0,26.0,1e-323,0.0279193,gccm
4.833333333333333,21.703031135454523,-4.527521700095373e-14,25.99999999999976,1e-323,0.0279193,gccm
4.916666666666667,21.67513713531264,-2.1680751229848543e-14,25.999999999999883,1e-323,0.0279193,gccm
5.0,21.64892459965597,0.0,26.0,1e-323,0.0335181,gccm
5.083333333333333,21.624996182705672,0.0,26.0,1e-323,0.0335181,gccm
5.166666666666667,21.603524745115124,0.0,26.0,1e-323,0.0335181,gccm
5.25,21.58437681109592,-4.137159858288097e-16,25.999999999999996,1e-323,0.0335181,gccm
5.333333333333333,21.56722663418134,-9.494723519014526e-16,25.999999999999996,1e-323,0.0335181,gccm
5.416666666666667,21.5516279825045,-5.653866694035036e-16,25.999999999999996,1e-323,0.0335181,gccm
5.5,21.53706098253258,-2.26718772874144e-15,25.99999999999999,1e-323,0.0335181,gccm
5.583333333333333,21.522960375844946,-8.978278437969741e-15,25.999999999999954,1e-323,0.0335181,gccm
5.666666666666667,21.50871278710696,-3.049469611122547e-15,25.999999999999982,1e-323,0.0335181,gccm
