step,temp_C,power_kw,price
0,27.03421146360837,-6.0,0.6
1,26.303333418619037,-6.0,0.6
2,25.74629412219688,-6.0,0.6
3,25.31807917636093,-6.0,0.6
4,24.98550815325223,-6.0,0.6
5,24.724122015947938,-6.0,0.6
6,24.515889182751152,-6.0,0.6
7,24.347514922287544,-6.0,0.6
8,24.209195396482453,-6.0,0.6
9,24.09369940395206,-6.0,0.6
10,23.995691634889212,-6.0,0.6
11,23.91123391721501,-6.0,0.6
12,23.837417640327534,-6.0,0.6
13,23.77209285531934,-6.0,0.6
14,23.713668624733707,-6.0,0.6
15,23.660965882508016,-6.0,0.6
16,23.61310899341986,-6.0,0.6
17,23.56944583372169,-6.0,0.6
18,23.5294888916643,-6.0,0.6
19,23.49287185953777,-6.0,0.6
20,23.459317642883757,-6.0,0.6
21,23.42861478413249,-6.0,0.6
22,23.400600087674245,-6.0,0.6
23,23.37514581541623,-6.0,0.6
24,23.352150250833283,-6.0,0.6
25,23.331530745657563,-6.0,0.6
26,23.313218596341272,-6.0,0.6
27,23.29715526913669,-6.0,0.6
28,23.28328961918611,-6.0,0.6
29,23.271575842278818,-6.0,0.6
30,23.261971966667282,-6.0,0.6
31,23.25443874299138,-6.0,0.6
32,23.248938827693006,-6.0,0.6
33,23.245436182817652,-6.0,0.6
34,23.243895635377168,-6.0,0.6
35,23.24428255439239,-6.0,0.6
36,23.246562614748022,-6.0,0.6
37,23.250701625109194,-6.0,0.6
38,23.25666540313131,-6.0,0.6
39,23.2644196856034,-6.0,0.6
40,23.273930064414397,-6.0,0.6
41,23.285161941626367,-6.0,0.6
42,23.298080498703346,-6.0,0.6
43,23.312650676245106,-6.0,0.6
44,23.328837161533567,-6.0,0.6
45,23.346604381905983,-6.0,0.6
46,23.365916502489558,-6.0,0.6
47,23.386737427215802,-6.0,0.6
48,23.409030802315577,-6.0,0.6
49,23.432760021704176,-6.0,0.6
50,23.457888233819254,-6.0,0.6
51,23.484378349587566,-6.0,0.6
52,23.51219305127976,-6.0,0.6
53,23.541294802073995,-6.0,0.6
54,23.57164585619426,-6.0,0.6
55,23.603208269522653,-6.0,0.6
56,23.635943910609488,-6.0,0.6
57,23.669814472023003,-6.0,0.6
58,23.704781481993944,-6.0,0.6
59,23.74080631631992,-6.0,0.6
60,23.77785021050174,-6.0,0.6
61,23.815874272089193,-6.0,0.6
62,23.854839493217607,-6.0,0.6
63,23.894706763319455,-6.0,0.6
64,23.93543688199726,-6.0,0.6
65,23.976990572045693,-6.0,0.6
66,24.01932849261184,-6.0,0.6
67,24.062411252483393,-6.0,0.6
68,24.1061994234952,-6.0,0.6
69,24.150653554045014,-6.0,0.6
70,24.195734182709533,-6.0,0.6
71,24.241401851952176,-6.0,0.6
72,24.287617121914124,-6.0,0.6
73,24.334386031957404,-6.0,0.6
74,24.381658151302183,-6.0,0.6
75,24.429385982614857,-6.0,0.6
76,24.477524220002888,-6.0,0.6
77,24.526029205914636,-6.0,0.6
78,24.574858534633083,-6.0,0.6
79,24.623970763808618,-6.0,0.6
80,24.67332520561436,-6.0,0.6
81,24.722881776579314,-6.0,0.6
82,24.772600890661177,-6.0,0.6
83,24.82244338417909,-6.0,0.6
84,24.87237046421742,-6.0,0.6
85,24.922343674316103,-6.0,0.6
86,24.972324872887533,-6.0,0.6
87,25.022276220997313,-6.0,0.6
88,25.072160177028596,-6.0,0.6
89,25.121939496400064,-6.0,0.6
90,25.17157723498686,-6.0,0.6
91,25.221036755247102,-6.0,0.6
92,25.27028173431693,-6.0,0.6
93,25.319276173528937,-6.0,0.6
94,25.36798440895028,-6.0,0.6
95,25.416371122641042,-6.0,0.6
